Subprimer,Office Code,id_agency,id_subagency,id_org,id_suborg,subprimer_line_num,assigned_indiv,seeding_complete,Date,Event,Comments,is_office
Southeast Regional Climate Center: Climate Data (mainly uncrawlable maps),303010113,3,3,1,1,13,,1,1/14/2017,DataRescue Philly,,
Southeast Regional Climate Center: Weather and Climate (mainly uncrawlable maps),303010114,3,3,1,1,14,,1,1/14/2017,DataRescue Philly,,
Southeast Regional Climate Center: Special Topics (mix of seedable pages and uncrawlable maps),303010115,3,3,1,1,15,,1,1/14/2017,DataRescue Philly,,
Southern Regional Climate Center: Tropical Desk (mainly uncrawlable maps),303010116,3,3,1,1,16,,1,1/14/2017,DataRescue Philly,,
Southern Regional Climate Center: Climate Services,303010117,3,3,1,1,17,,1,1/14/2017,DataRescue Philly,,
Southern Regional Climate Center: Current Weather (uncrawlable map with links),303010118,3,3,1,1,18,,1,1/14/2017,DataRescue Philly,,
High Plains Regional Climate Center: Online Data Services (mix of crawlable and uncrawlable data),303010119,3,3,1,1,19,,1,1/14/2017,DataRescue Philly,,
High Plains Regional Climate Center: Research Projects (links to specific project pages with a mix of crawlable and uncrawlable data),303010120,3,3,1,1,20,,1,1/14/2017,DataRescue Philly,,
Midwestern Regional Climate Center: cli-MATE Online Data Portal (requires sign-in),303010121,3,3,1,1,21,,1,1/14/2017,DataRescue Philly,,
Midwestern Regional Climate Center: Vegetation Impact Program,303010122,3,3,1,1,22,,1,1/14/2017,DataRescue Philly,,
Midwestern Regional Climate Center: Resources,303010123,3,3,1,1,23,,1,1/14/2017,DataRescue Philly,,
Midwestern Regional Climate Center: Midwest Climate Watch,303010124,3,3,1,1,24,,1,1/14/2017,DataRescue Philly,,
Western Regional Climate Center: Data Projects,303010125,3,3,1,1,25,,1,1/14/2017,DataRescue Philly,,
Western Regional Climate Center: Research Projects,303010126,3,3,1,1,26,,1,1/14/2017,DataRescue Philly,,
National Climatic Data Center: Climate Information,303010127,3,3,1,1,27,,1,1/14/2017,DataRescue Philly,,
National Geophysical Data Center,303010128,3,3,1,1,28,,1,1/14/2017,DataRescue Philly,,
National Oceanographic Data Center,303010129,3,3,1,1,29,,1,1/14/2017,DataRescue Philly,,
National Coastal Data Development Center,303010130,3,3,1,1,30,,1,1/14/2017,DataRescue Philly,,
Directorate of Enforcement Programs,416000000,4,16,0,0,,,0/17,,,,1
Office of Federal Agency Programs (OFAP) [29 CFR Part 1960]: Federal Agency Safety and Health Occupational Injury and Illness Statistics,416000001,4,16,0,0,1,,0,,,,
OFAP: Training for Federal Agencies (TFA),416000002,4,16,0,0,2,,0,,,,
"OFAP: Other Information for Federal Agencies (Federal Poster, Field Federal Safety and Health Councils and more)",416000003,4,16,0,0,3,,0,,,,
"Office of Maritime Enforcement (OME) [29 CFR Parts 1915, 1917, 1918, and 1919]",416000004,4,16,0,0,4,,0,,,,
OSHA Enforcement Landing Page (OSHAELP): Training,416000005,4,16,0,0,5,,0,,,,
OSHAELP: Recent Industry Alerts/Letters,416000006,4,16,0,0,6,,0,,,,
OSHAELP: Enforcement Initiatives,416000007,4,16,0,0,7,,0,,,,
OSHAELP: Targeted Enforcement,416000008,4,16,0,0,8,,0,,,,
OSHAELP: Severe Violators,416000009,4,16,0,0,9,,0,,,,
OSHAELP: Recent Compliance Directives,416000010,4,16,0,0,10,,0,,,,
OSHAELP: Press Releases of Significant Enforcement Cases,416000011,4,16,0,0,11,,0,,,,
OSHAELP: Compliance Assistance,416000012,4,16,0,0,12,,0,,,,
OSHAELP: Enforcement Data,416000013,4,16,0,0,13,,0,,,,
OSHAELP: Enforcement Policies,416000014,4,16,0,0,14,,0,,,,
